Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-01 00:00:00-04:00,92.37000274658203,93.23999786376953,91.19400024414062,93.12000274658203,252400,0.0,0.0
2024-04-02 00:00:00-04:00,93.0,93.05999755859375,91.31999969482422,91.52999877929688,351100,0.0,0.0
2024-04-03 00:00:00-04:00,91.19000244140625,91.7300033569336,89.5199966430664,90.77999877929688,405000,0.0,0.0
2024-04-04 00:00:00-04:00,91.6500015258789,91.84500122070312,89.8499984741211,89.94000244140625,326000,0.0,0.0
2024-04-05 00:00:00-04:00,89.47000122070312,90.69999694824219,89.0,90.5199966430664,290600,0.0,0.0
2024-04-08 00:00:00-04:00,90.45999908447266,90.81999969482422,89.18000030517578,89.30999755859375,647400,0.0,0.0
2024-04-09 00:00:00-04:00,88.9800033569336,92.4800033569336,88.80000305175781,90.05000305175781,626000,0.0,0.0
2024-04-10 00:00:00-04:00,88.52999877929688,89.38999938964844,87.61000061035156,88.6500015258789,429400,0.0,0.0
2024-04-11 00:00:00-04:00,89.63999938964844,89.63999938964844,86.80999755859375,87.01000213623047,574500,0.0,0.0
2024-04-12 00:00:00-04:00,86.69000244140625,86.79000091552734,85.5999984741211,86.4800033569336,726700,0.0,0.0
2024-04-15 00:00:00-04:00,86.12000274658203,88.95500183105469,86.06500244140625,87.88999938964844,753300,0.0,0.0
2024-04-16 00:00:00-04:00,86.44000244140625,87.31500244140625,86.13999938964844,86.33999633789062,782100,0.0,0.0
2024-04-17 00:00:00-04:00,86.62999725341797,86.875,85.4000015258789,86.4000015258789,1264700,0.0,0.0
2024-04-18 00:00:00-04:00,85.66999816894531,86.7699966430664,85.6050033569336,86.16999816894531,578600,0.0,0.0
2024-04-19 00:00:00-04:00,85.69999694824219,87.58999633789062,85.625,86.80999755859375,1577800,0.0,0.0
2024-04-22 00:00:00-04:00,86.87999725341797,88.72000122070312,86.5,88.01000213623047,528500,0.0,0.0
2024-04-23 00:00:00-04:00,88.08000183105469,89.5199966430664,87.58000183105469,88.48999786376953,362400,0.0,0.0
2024-04-24 00:00:00-04:00,88.58999633789062,89.44999694824219,87.81999969482422,88.08999633789062,281700,0.0,0.0
2024-04-25 00:00:00-04:00,87.9800033569336,88.23999786376953,86.12999725341797,86.70999908447266,438100,0.0,0.0
2024-04-26 00:00:00-04:00,87.4000015258789,88.31999969482422,86.88999938964844,87.20999908447266,355700,0.0,0.0
2024-04-29 00:00:00-04:00,87.01000213623047,89.52999877929688,87.01000213623047,87.94999694824219,409100,0.0,0.0
2024-04-30 00:00:00-04:00,88.38999938964844,89.62000274658203,87.87000274658203,88.81999969482422,410400,0.0,0.0
2024-05-01 00:00:00-04:00,86.7699966430664,90.66000366210938,86.36000061035156,89.94999694824219,427000,0.0,0.0
2024-05-02 00:00:00-04:00,90.75,92.4000015258789,90.68000030517578,92.23999786376953,561700,0.0,0.0
2024-05-03 00:00:00-04:00,93.41999816894531,93.54000091552734,91.5999984741211,92.72000122070312,663300,0.0,0.0
2024-05-06 00:00:00-04:00,90.08999633789062,95.29000091552734,89.94000244140625,93.3499984741211,1097700,0.0,0.0
2024-05-07 00:00:00-04:00,92.8499984741211,93.2300033569336,90.75,90.87999725341797,487600,0.0,0.0
2024-05-08 00:00:00-04:00,90.72000122070312,90.98999786376953,89.37999725341797,90.12999725341797,344000,0.0,0.0
2024-05-09 00:00:00-04:00,90.23999786376953,93.86000061035156,90.13999938964844,92.05999755859375,581700,0.0,0.0
2024-05-10 00:00:00-04:00,92.58999633789062,93.38500213623047,91.52999877929688,91.66999816894531,389800,0.0,0.0
2024-05-13 00:00:00-04:00,92.55999755859375,93.4800033569336,92.41300201416016,92.72000122070312,249400,0.0,0.0
2024-05-14 00:00:00-04:00,92.79000091552734,93.22000122070312,91.70999908447266,92.27999877929688,271600,0.0,0.0
2024-05-15 00:00:00-04:00,93.0,93.0,91.60399627685547,92.19999694824219,468400,0.0,0.0
2024-05-16 00:00:00-04:00,92.0,93.30000305175781,91.77999877929688,92.9800033569336,389100,0.0,0.0
2024-05-17 00:00:00-04:00,92.80000305175781,92.80000305175781,90.53500366210938,90.61000061035156,471700,0.0,0.0
2024-05-20 00:00:00-04:00,90.56999969482422,92.66999816894531,90.23999786376953,92.47000122070312,341000,0.0,0.0
2024-05-21 00:00:00-04:00,91.62000274658203,92.26000213623047,90.9000015258789,92.06999969482422,609200,0.0,0.0
2024-05-22 00:00:00-04:00,92.0,102.66000366210938,91.80000305175781,102.30000305175781,3753000,0.0,0.0
2024-05-23 00:00:00-04:00,101.75,101.94999694824219,97.68000030517578,99.0,1553700,0.0,0.0
2024-05-24 00:00:00-04:00,99.0,99.2699966430664,94.5199966430664,96.94999694824219,1245200,0.0,0.0
2024-05-28 00:00:00-04:00,97.72000122070312,97.72000122070312,92.56999969482422,94.0999984741211,897700,0.0,0.0
2024-05-29 00:00:00-04:00,93.0199966430664,93.54000091552734,91.56999969482422,93.2300033569336,435300,0.0,0.0
2024-05-30 00:00:00-04:00,94.0,103.41000366210938,92.38999938964844,98.75,2794000,0.0,0.0
2024-05-31 00:00:00-04:00,99.5,103.56999969482422,98.62000274658203,100.5999984741211,1618200,0.0,0.0
2024-06-03 00:00:00-04:00,100.0,103.75,99.66999816894531,102.87000274658203,986400,0.0,0.0
2024-06-04 00:00:00-04:00,103.31999969482422,103.31999969482422,99.11399841308594,99.4800033569336,1048400,0.0,0.0
