Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-01 00:00:00-04:00,7.409999847412109,7.409999847412109,7.144999980926514,7.28000020980835,1246900,0.0,0.0
2024-04-02 00:00:00-04:00,7.119999885559082,7.130000114440918,6.860000133514404,6.869999885559082,2221400,0.0,0.0
2024-04-03 00:00:00-04:00,6.820000171661377,7.025000095367432,6.6539998054504395,6.860000133514404,1812600,0.0,0.0
2024-04-04 00:00:00-04:00,7.0,7.090000152587891,6.769999980926514,6.809999942779541,2094800,0.0,0.0
2024-04-05 00:00:00-04:00,6.769999980926514,6.84499979019165,6.619999885559082,6.71999979019165,1255300,0.0,0.0
2024-04-08 00:00:00-04:00,6.739999771118164,6.869999885559082,6.679999828338623,6.71999979019165,1040300,0.0,0.0
2024-04-09 00:00:00-04:00,6.739999771118164,7.03000020980835,6.664999961853027,7.010000228881836,1568000,0.0,0.0
2024-04-10 00:00:00-04:00,6.800000190734863,6.800000190734863,6.539999961853027,6.630000114440918,2134900,0.0,0.0
2024-04-11 00:00:00-04:00,6.650000095367432,6.767000198364258,6.440000057220459,6.579999923706055,1476400,0.0,0.0
2024-04-12 00:00:00-04:00,6.53000020980835,6.53000020980835,6.130000114440918,6.210000038146973,2024600,0.0,0.0
2024-04-15 00:00:00-04:00,6.25,6.289999961853027,5.974999904632568,6.079999923706055,1771600,0.0,0.0
2024-04-16 00:00:00-04:00,5.980000019073486,6.03000020980835,5.849999904632568,5.849999904632568,1338800,0.0,0.0
2024-04-17 00:00:00-04:00,5.889999866485596,5.929999828338623,5.599999904632568,5.610000133514404,1910200,0.0,0.0
2024-04-18 00:00:00-04:00,5.599999904632568,5.679999828338623,5.511000156402588,5.550000190734863,1715600,0.0,0.0
2024-04-19 00:00:00-04:00,5.519999980926514,5.679999828338623,5.284999847412109,5.489999771118164,2264500,0.0,0.0
2024-04-22 00:00:00-04:00,5.590000152587891,5.789999961853027,5.380000114440918,5.599999904632568,1745100,0.0,0.0
2024-04-23 00:00:00-04:00,5.659999847412109,5.920000076293945,5.460000038146973,5.460000038146973,1648500,0.0,0.0
2024-04-24 00:00:00-04:00,5.510000228881836,5.590000152587891,5.28000020980835,5.349999904632568,1908300,0.0,0.0
2024-04-25 00:00:00-04:00,5.269999980926514,5.269999980926514,5.110000133514404,5.21999979019165,1543800,0.0,0.0
2024-04-26 00:00:00-04:00,5.25,5.394999980926514,5.130000114440918,5.320000171661377,1352000,0.0,0.0
2024-04-29 00:00:00-04:00,5.380000114440918,5.545000076293945,5.300000190734863,5.369999885559082,1266100,0.0,0.0
2024-04-30 00:00:00-04:00,5.329999923706055,5.360000133514404,5.199999809265137,5.210000038146973,1467400,0.0,0.0
2024-05-01 00:00:00-04:00,5.210000038146973,5.670000076293945,5.210000038146973,5.46999979019165,2617600,0.0,0.0
2024-05-02 00:00:00-04:00,5.539999961853027,5.639999866485596,5.409999847412109,5.619999885559082,1664400,0.0,0.0
