Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-04-01 00:00:00-04:00,265.4373189956994,267.0556683502032,262.5111334060404,266.3123779296875,1868600,0.0,0.0
2024-04-02 00:00:00-04:00,266.59460806093233,267.13092796336764,259.72604940465544,259.885986328125,2220500,0.0,0.0
2024-04-03 00:00:00-04:00,259.39671485061683,260.1306156781599,257.50549672372233,258.2017822265625,1669200,0.0,0.0
2024-04-04 00:00:00-04:00,259.7354518752666,260.37528574312876,251.92599280880677,252.2458953857422,2451200,0.0,0.0
2024-04-05 00:00:00-04:00,250.18535446295922,256.9316214509165,249.41380941677258,253.9960174560547,2293800,0.0,0.0
2024-04-08 00:00:00-04:00,253.55376459527062,254.24060327861167,251.74722380252803,253.29031372070312,1830800,0.0,0.0
2024-04-09 00:00:00-04:00,254.2217921939221,255.25678801365325,252.7069281500449,254.38172912597656,1792600,0.0,0.0
2024-04-10 00:00:00-04:00,252.12355931762613,252.51874995704418,248.99037491005663,250.70281982421875,1949500,0.0,0.0
2024-04-11 00:00:00-04:00,254.25004422920756,256.8657455444336,252.58466127095744,254.0430450439453,2169600,0.0,0.0
2024-04-12 00:00:00-04:00,252.88569653687426,253.38437241567323,250.43937937385488,251.4837646484375,2140100,0.0,0.0
2024-04-15 00:00:00-04:00,253.9771521740554,254.91805225580035,248.72694235207496,249.81838989257812,1740000,0.0,0.0
2024-04-16 00:00:00-04:00,251.06034899406998,251.70018285398223,248.21884116554347,249.94070434570312,2017600,0.0,0.0
2024-04-17 00:00:00-04:00,251.72842553359595,252.88571430143094,247.82369578787407,248.4635009765625,2175100,0.0,0.0
2024-04-18 00:00:00-04:00,249.94069617550701,250.2041470336858,247.06151568499544,247.2214813232422,2082700,0.0,0.0
2024-04-19 00:00:00-04:00,248.99039597228793,253.45967140986392,245.27382912281212,253.0362548828125,3380100,0.0,0.0
2024-04-22 00:00:00-04:00,253.89247883283505,256.9974663826027,253.89247883283505,255.84014892578125,2165800,0.0,0.0
2024-04-23 00:00:00-04:00,256.05655547651594,258.25825816578043,255.03094914534563,257.3738098144531,2493300,0.0,0.0
2024-04-24 00:00:00-04:00,254.63577544223372,258.61576412542524,253.71368309126316,256.8751220703125,2467100,0.0,0.0
2024-04-25 00:00:00-04:00,257.2891567702477,258.13596116003697,251.4461461813151,253.45968627929688,1794000,0.0,0.0
2024-04-26 00:00:00-04:00,250.0159871591705,255.62374397181603,250.0159871591705,254.02423095703125,2436900,0.0,0.0
2024-04-29 00:00:00-04:00,253.27146765156317,260.49757311806866,253.09269434559053,260.04595947265625,2678900,0.0,0.0
2024-04-30 00:00:00-04:00,259.79188954204545,259.80130773067884,256.2541250086649,257.7501525878906,2477300,0.0,0.0
2024-05-01 00:00:00-04:00,257.9759438263346,263.30144103910834,257.2232353448493,260.9774169921875,2323700,0.0,0.0
2024-05-02 00:00:00-04:00,261.2785837039253,262.1630322055262,258.6534640570887,261.9372253417969,3177500,0.0,0.0
2024-05-03 00:00:00-04:00,294.86871836749094,303.534400902338,290.4370578880788,292.892822265625,9644700,0.0,0.0
2024-05-06 00:00:00-04:00,292.5070167137357,294.247687576262,279.93657691782926,281.78076171875,4717600,0.0,0.0
2024-05-07 00:00:00-04:00,283.91659318430567,285.0080406998894,280.86808617753127,282.5522766113281,2452100,0.0,0.0
2024-05-08 00:00:00-04:00,282.3829361718079,289.39265347076974,281.2256474144761,289.14801025390625,2859600,0.0,0.0
2024-05-09 00:00:00-04:00,291.23678018712053,296.00715014949503,288.2164991820742,294.3699645996094,2921300,0.0,0.0
2024-05-10 00:00:00-04:00,294.39818413407147,296.2799839381646,291.5096145434317,291.8200988769531,2611800,0.0,0.0
2024-05-13 00:00:00-04:00,293.7019551685834,293.7019551685834,288.9127771917446,290.22064208984375,1558500,0.0,0.0
2024-05-14 00:00:00-04:00,290.4841013829246,293.9371887078062,289.29855805549767,293.0057067871094,1631100,0.0,0.0
2024-05-15 00:00:00-04:00,296.2141240314475,302.44287699856966,294.3793576750592,300.1847229003906,3466000,0.0,0.0
2024-05-16 00:00:00-04:00,298.1379571089674,299.5688162760888,294.4708165935874,298.2232360839844,2367800,2.25,0.0
2024-05-17 00:00:00-04:00,298.7539533527828,298.7539533527828,294.1013175664617,296.09124755859375,1974200,0.0,0.0
2024-05-20 00:00:00-04:00,297.9295134657888,299.2561236104294,296.23333214624876,298.0527038574219,1394600,0.0,0.0
2024-05-21 00:00:00-04:00,297.6452350913561,300.07107379151654,295.55108509016975,298.3464660644531,1705900,0.0,0.0
2024-05-22 00:00:00-04:00,298.20434136256165,298.488604656966,292.3482572364235,293.1916198730469,2849100,0.0,0.0
2024-05-23 00:00:00-04:00,292.300882434676,295.6363636509532,288.4252720544476,290.43414306640625,2139700,0.0,0.0
2024-05-24 00:00:00-04:00,290.3583606057265,291.38173739855205,287.9704332259089,289.8087463378906,2425800,0.0,0.0
2024-05-28 00:00:00-04:00,287.2218515323888,287.6009078433577,282.67346498012694,284.4549255371094,2636700,0.0,0.0
2024-05-29 00:00:00-04:00,283.3652031512734,283.3841443991268,280.30449992371774,280.83514404296875,2475900,0.0,0.0
2024-05-30 00:00:00-04:00,281.6026691390245,287.65773753254393,280.001251782269,285.2224426269531,2727100,0.0,0.0
2024-05-31 00:00:00-04:00,286.17946215045265,289.865543837636,283.80102030583834,289.81817626953125,4488900,0.0,0.0
